Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
Religion & Mythology,"In Egyptian mythology, who was Isis the wife of?",Osiris, History & Holidays,Who starred in the 1954 Musical remake of 'A star is born' ? ,Judy Garland ,General,What is Radar from MASH home town,Ottumwa - Iowa
General,Which wedding anniversary is wood,Fifth,General,Who plays dawson leary on 'dawson's creek',James van der beek,General,Corzetti is what shaped pasta,Coin shaped
General,Why did Roselin Franklin (pre discovered dna helix) no Nobel,She was dead,General,U.S. captials Delaware,Dover,General,What European language is unrelated to any other language,Basque
General,Who invented carbonated soda water,Joseph priestley,General,Which is the largest of the National Parks of England and Wales,Lake district,Art & Literature,Which Painter Reputedly Cut Of His Own Ear ,Vincent Van Goch 
General,"What, according ot the saying, makes waste",Haste,Music,Elton John Is His Stage Name What Is His Real One,Reginald Dwight,General,What common phrase originated when 'bedsprings' were ropes woven through wooden bed frames and needed to be kept from sagging by using a key to stretch them,Sleep tight
General,What is a group of this animal called: Cow,Kine,General,What countries language is Magyar,Hungary,General,This order of insects contains the most species,Beetles
Art & Literature,Which Word Created By JK Rowling Gained Entry Into The Oxford English Dictionary In 2003? ,Muggle ,General,In what country was fashion designer Yves St Laurent born,Algeria,General,What is the main ingredient of the Indian dish dahl,Lentils
General,Who moved his 1960's variety series to miami,Jackie gleason,Music,Which City Not State Is The Home Of Motown Records,Detroit,General,In ancient China people committed suicide by eating what,Salt One lb will kill you
 History & Holidays,Alexander the Great was king of which country ?,Macedonia,General,"Which foodstuff has types called ""blanket"" and ""honeycomb""",Tripe,Science & Nature,What Was The Main Competitor To VHS Video ,Betamax 
General,Which movie had a device known as a flux-capacitor?,Back to the Future,General,"What actress/dancer/politician went ""out on a limb""",Shirley maclaine,Music,In The UK Which Artist Became The First Act To Go To Number One On Download Sales Alone?,Gnarls Barkley's - Crazy
Sports & Leisure,What was Baron Pierre De Coubertin's contribution to sport? ,He founded the Olympic movement in 1892 ,General,Which is the highest peak in the Andes,Aconcagua,General,Savage garden took 13 nominations and 10 wins at which awards,Aria awards
 Geography,What's the capital of Poland?,Warsaw,General,J K Rowling wrote the Harry Potter series what do the JK mean,Joanne Kathleen,General,Name the North African spicy dish of steamed semolina served with meat stew,Cous cous
General,Mrs Darell Waters (translated 128 languages) pen name,Edith Blyton,Entertainment,Who wrote the opera 'The Masked Ball'?,Giuseppe Verdi,General,Ordinary seaman Able Seaman what comes next,Leading Seaman
General,In The Caine Mutiny Bogart played Cap Queeg who first choice,Richard Widmark,Food & Drink,What type of pastry would be used for a jam roly poly? ,Suet ,General,What are terra cotta objects baked from,Clay
General,Which Australian state capital was named in honour of a British Prime Minister,Melbourne,Science & Nature,What Is The Largest Species Of Deer? ,The Moose ,General,Mark mcguire tied and went on to beat whose record of 61 home runs in one major league season,Roger maris
General,What country has the highest voting age 25,Andorra,General,"Who was the 4th child on ""Growing Pains?""",Chrissy,General,What links Fantasy Devils Coral and Christmas,Islands
Music,"Which Female Singer Married In 1969, Divorced In 1975, & Recorded One Last Album With Her Ex Husband In 1995",Tammy Wynette,Science & Nature,What Is Hydrophobia Better Known As ,Rabies , History & Holidays,This was the largest real estate deal in U.S. history.,Louisiana purchase
General,Noologists study what,The Mind,Music,"The Film ""Chances Are"" Featured A Song Called ""After All"" By Which Male Singer",Peter Cetera,General,What TV program first used the word hell,Star Trek lets get the hell outa here
General,What is the name given to the fortified gateway of a castle,Barbican,General,Who was Speaker of the House of Commons immediately prior to Betty Boothroyd,Bernard weatherill,General,Who painted The Haywain,John Constable
General,"Who said  ""The reports of my death are greatly exaggerated.""?",Mark Twain,General,"Who said ""Iv'e never had an accident worth talking about""",Captain E J Smith of the Titanic,Music,What Links Boney M In 1976 And David Grey In 2000?,Babylon
General,What king dissolved the English monastries,Henry viii,General,Coco Channel a fashion star had what real first name,Gabrielle,General,What is classified on the Fujita scale,Tornados 1 to 5
Entertainment,"A set of graduated steel bars set in a frame and hit with a hammer, used in the orchestra.",Glockenspiel,General,At which Paris terminus does the Eurostar train from London arrive,Gare du nord,Food & Drink,Kale is a variety of which winter vegetable? ,Cabbage 
General,Which actress starred in the original King Kong in 1933 (both),Fay Wray,General,What is the smallest lake in the world,Vanern,Food & Drink,"In Greek Mythology, what was the food of the Gods? ",Ambrosia 
General,What word do we get from shah mat,Checkmate,General,"One gram of 2,4 d, a common household herbicide can contaminate __________ litres of drinking water",Ten million,General,"How many legs do crabs, lobsters & shrimp each have",Ten
General,Who directed Dr Strangelove - 2001 - The Shining (full name),Stanley Kubrick,General,What country has two AK47 assault rifles on it's flag,Mozambique,General,"What Film Was Advertised With The Slogan ""Don't Give Away The Ending It's The Only One We Have""",Psycho
Music,"In Which Year Were The Following All UK Chart Hits: ""Solsbury Hill"" By Peter Gabriel, ""Silver Lady"" By David Soul And ""Pearl's A Singer"" By Elkie Brooks?",1977,General,Who invented painting by numbers?,Palmer paint company,General,What is 'tilapia' a type of,Fish
General,"In cornish folklore, what is a sea spirit that lives among fisherman",Bucca,General,Who formulated the laws which first explained the movements of the planets properly,Kepler,Religion & Mythology,Who was Hercules' stepmother?,Hera
Entertainment,What did George Harrison discover on the Witwatersrand?,Gold,General,Rod Temperton From Cleethorpes Is One Of The Richest Men In Music But What Is His Claim To Fame,He Wrote Micheal Jacksons Thriller,Music,What song did Lennon and McCartney give to the Rolling Stones in 1963?,I Wanna Be Your Man
General,When do children grow fastest,Springtime,General,What is the food of the secretary bird,Snakes,General,What were China 14 Raduga 14 Himwari 3,Orbiting satellites
General,What is the flower that stands for: prettiness,Pompon rose,Music,Which Pink Creation From Noel's House Party Had A UK No.1 In 1993,Mr Blobby,Food & Drink,Where were Cornflakes invented?,Battle Creek Sanitarium
General,How is the tree with the botanical name Fagus better known,Beech,General,"What word is used in a balance sheet to mean ""What a company owes to its suppliers and lenders""",Liabilities,General,In New Jersey what is it illegal for a man to do fishing season,Knit
General,What is the young of this animal called: Codfish,Codling sprat,Food & Drink,In which country did edam cheese originate ,Holland ,General,Where in the body would you find the Bowman's capsule,Kidney
Science & Nature,What Metal Are Light Bulb Filaments Made From ,Tungsten ,General,When was the Berlin wall erected,1961,General,The Computer Language ADA Was Named After The Daughter Of Which Famous Poet,Lord Byron
General,Methyphobia is the fear of,Alcohol,General,Who protects themselves from from blowing dust with three eyelids,Camels,Sports & Leisure,Who Was Britains Golden Girl In 2004 Winning Both The 800 & 1500 Metres ,Kelly Holmes 
General,What name is given to a stone female figure who supports a ceiling on her head,Caryatid,General,What's the smallest known planet in our solar system,Pluto,General,Large brown seed with edible white lining enclosing milky juice,Coconut
Music,Which 1998 Double Album Has One For The Heart And One For The Feet,George Michael / Ladies & Gentlemen,General,Polite society man does it 2 legs woman sitting dog 3 legs what,Shake hands,General,Name either of the two giant stars in the constellation of Orion,Rigel betelgeuse
General,Who wrote The Prime of Miss Jean Brodie,Muriel Spark,General,He assassinated john lennon on december 8 1980,Mark chapman,General,Jimmy Carter was the first US president to have done what,Born in a Hospital
General,"In France what take place at Auteuil, Saint-Cloud and Chantilly",Horse Racing – they are courses,General,Kong what member of ac/dc died in 1980,Bon scott,General,"In Coronation Street, what was the name of Ken Barlow's first wife, played by Anne Reid",Valerie
Music,Name The Orchestral Instrument That Lent Its Name To A Mike Oldfield Album,Tubular Bells,General,What animal is represented by the constellation Lacerta,Lizard,General,Paris is the administrative centre of which French region,Ile de france
Sports & Leisure,Which Uk Leasure Activity Has Caused The Most Fatalities ,Fishing ,General,Name Tina Turners solo comeback album of 1984,Private Dancer,General,In California it is illegal to eat what while bathing,Oranges
General,Geneva stands on what river,Rhone, History & Holidays,"What movie featured Reece's Pieces as part of the story, because the director couldn't obtain the rights to use M&M's? ",E.T. ,Toys & Games,What game or sport is Bobby Fischer identified with?,Chess
General,In the 60s a Yellow Golliwog worn by a girl symbolised what,Proud of non virginity,People & Places,Whose Nickname Was Satchmo ,Louis Armstrong ,General,Who started life as Dippy Dawg,Goofy
General,Where Are The Maxwell Gap And The Keeler Gap Located,Between The Rings Of Saturn,General,In fiction who's mother Monique Delacroix died when he was 11,James Bond,General,"In 1979, who recorded ""London Calling""",Clash
Food & Drink,How Many Legs Does A Bombay Duck Have? ,None Its A Fish!! ,General,"What served as a cowboy's wash cloth, dust mask & water filter",A bandana bandana,Science & Nature,What Is An Exoskeleton? ,An Insects External Skeleton 
General,What was the name of the ranch in the tv series 'bonanza',Ponderosa,General,Short actors stand on what wooden object - to appear bigger,Pancake,Art & Literature,"Who wrote 'little lamb, who made thee'?",William Blake
General,Which Grand Prix driver was also a champion claw pigeon shot,Jackie Stewart UK clay 5 times, History & Holidays,"Electric Christmas tree lights were first used in what year? 1878,1895, 1903, 1907 ",1895 ,Sports & Leisure,Which Heavweight Boxer Is Known As The Real Deal ,Evander HolyField 
General,In what Australian state would you find Cessnock,New south wales nsw,General,Which acid was first prepared from distilled red ants,Formic acid,General,"""Don't worry, unless they're strange, your kids will eat them!""",Life
General,Strabismus is the correct name for what condition,A Squint,General,To grill meat on a rack over charcoal,Charbroil,Sports & Leisure,Which Game Makes Use Of Hoops ,Croquet 
General,What US city buys the most blond hair dye,Dallas Texas,General,A charm worn against evil,Amulet,General,Who is Dick Tracey's girlfriend,Tess Trueheart
General,Ancient Chinese thought what fruit a symbol long life immortality,Peach,Science & Nature,"How many Earths would it take to match the size of the sun? Over 1000, 100,000 or 1,000,000?","1,000,000",General,Which book first featured the character Felix Leiter,Casino royale
General,The Volga River flows into what sea,Caspian sea,General,What is the name of the colourful cathedral on Red Square in Moscow,St basil's,General,"Whose headstone reads 'at rest, an american soldier and defender of the constitution'",Jefferson davis
General,Which Saint translated the Vulgate bible,Jerome,General,"An electrical device for removing suspended impurities such as dust, fumes, or mist, from air or other gases",Electrostatic precipitator,General,How many beams of light are used to record a holograph,Two
Music,What Do Gary Lineker & John Lennon Have In Common,Both Have The Middle Name Winston,General,Which Country Scored The First Ever “ Golden Goal ” At The World Cup Finals,France,General,What was the capital of Ethiopia,Addis Ababa
Food & Drink,"What is Japanese ""sake"" made from?",Rice,General,Picea is the generic name for which tree,Spruce,Science & Nature,What kind of poisoning is known as plumbism?,Lead poisoning
General,Fred Waller patented what sporting equipment,Water Skis,General,The sacred book of which religion is divided into 114 chapters called Suras,Islam,General,What are bright regions of the sun's photosphere,Facula
Sports & Leisure,With which sport is Chris Evert Lloyd identified,Tennis,Music,The Label Is Bludgen Riffola Name The Band,Def Leopard,Music,"Who Released The Top Selling Album ""The Good Will Out""",Embrace
Music,Which Member Of The Buzzcocks Went On To Form The Band Magazine,Howard Devoto,Entertainment,Secret Identities: Jim Corrigan,The spectre,General,"What is a ""ruderal""",Weed
General,What is the worlds longest race,The Whitbread round the world,General,What was the best chariot route from rome to brindisi,Via appia,General,Who killed Laura Palmer on Twin Peaks?,"Her father,Leland Palmer."
General,"What german city do italians call ""the monaco of bavaria""",Munich,General,Ronald MacDonald is worldwide except Japan what's he there,Donald MacDonald,General,Fill in the blank: chang and eng were the most famous,Siamese twins
General,"In which South African town were over sixty people murdered by the police, during a campaign against the Pass laws in March 1960",Sharpeville,Geography,"There are approximately 320,000 _____________ in the world.",Icebergs,General,"What rock group recorded ""smokin'"" and ""more than a feeling""",Boston
Music,What Was John Lennons First No.1 Single In 1980,(Just Like) Starting Over,General,"In 1909, which U.S. President became the first to be depicted on a coin?",Abraham Lincoln,Art & Literature,What was Michelangelo's first name? ,Michelangelo!! 
General,What is the largest & most complicated joint in the body,Knee,Science & Nature,What Is Blackwater Fever A Complication Of ,Malaria ,General,Sterlet is the rarest most expensive what,Caviar - tiny eggs
General,Who painted The Gleaners,Jean Francis Millet,General,What show was Family Matters a spin-off of?,Perfect Strangers.,General,What was the first sport to be filmed,Boxing by Thomas Edison 1894
General,In Japan what is Shogi,Japanese Chess,General,You can who sang 'I'm a believer',Monkees,Science & Nature,Which Camera Was Invented By Edwin Land ,The Polaroid Camera 
General,In which city were the summer Olympic Games of 1900 held,Paris,General,What element is azoth the ancient name for,Mercury,Music,What Is The Best Selling Album Of All Time In The UK,Sergeant Pepper's Lonely Hearts Club Band- The Beatles
General,In cooking something made Veronique must contain what,Grapes,General,Which south-east Asian city is served by Kimpo International airport,Seoul,General,Helen Mitchell became famous as what soprano,Nellie Melba
General,Which TV Show Was Set In The Fictional Location Of Kings Oak,Crossroads,General,Who did Catherine Parr marry after the death of King Henry VIII?,Thomas Seymour, History & Holidays,From Which Country Does The Poinsettia Plant Originate ,Mexico 
General,What's a farm that has both cattle and crops called,Mixed farm,General,What is the name given to the dish of beef coated in pate and wrapped in pastry,Beef wellington,General,"The internal diameter of a gun, diameter of a bullet",Calibre
General,What mountain - Greeks believe was the home of the Muses,Helicon,General,The assassin in The Man With the Golden Gun was played by who,Christopher,General,"Name the evil slave owner and villain in Harriet Becher Stowe's novel ""Uncle Tom's Cabin"".",Simon legree
General,E W Hornung created which fictional character,Raffles,Food & Drink,What Does A Charcuterie Sell ,Pork Products ,Mathematics,2.7182 is the approximation for which variable used in logarithms?,E
General,Who is the master of the Shakespearean brute Caliban,Prospero,General,"What was Tom Clancy's blockbuster first novel, published in 1984",The Hunt,General,"Raspberry, dewberry and blackberry are all members of what family",Rose
General,What is a group of gnats,Mothers-in-law,General,Which tennis winner also won a Winter Olympics silver medal,Jaraslav Drobny,General,What is the worlds oldest desert - country named after it,Namib
General,What bird is depicted on the Canadian $1 coin,The loon – coin nickname is loonie,General,When was gas lighting invented,1792,General,The Wadomo tribe in Zimbabwe have what physical oddity,Two toes each foot
General,"In horse racing, what is the straight opposite the one with the finish line",Backstretch,Geography,What is the capital of Kuwait,Kuwait city,General,What does a myologist study,Muscles
General,Name the author who created Brer Rabbit and Brer Fox,Joel Chandler Harris,General,What insects do isopterpophobics fear,Termites,General,Geococcyx Californicus is what (cartoon) animal,Road Runner
General,Large South American constrictor snake,Anaconda,General,What international award was worth 365 dollars mineral value in 1988,Olympic,General,In computing what was the first ironbed,A Scanner
General,After which Italian is America named,Amerigo Vespucci,General,"Until the dinner plate was introduced in the 15th century, it was customary to eat on what",Bread,General,Hadephobia is a fear of ______,Hell
General,What is the longest tunnel,Water supply tunnel,General,What port lies at the mouth of the Swan river,Freemantle (Perth),Art & Literature,What Were The Tree Like Creatures In The Lord Of The Rings Called ,The Ents 
General,What do Ombrophobes fear,Rain,General,"Which group of Atlantic Islands were, for a time, known as the Flemish Islands, after Faial was gifted to Isabella of Burgundy in 1466",The azores,General,Name the only two mammals with hymens,Humans and horses
General,"Who wrote ""The Black Prince"", ""The Sea The Sea"", and ""The Philosopher's Pupil""",Iris murdoch,Music,"Who had his first UK top 40 hit single in 2004 with Magic, thirty years after his death at the age of 26?",Nick Drake,General,Manu National Park Peru has 1300 different species of what,Butterfly
General,Name the home city of the US football team nicknamed Falcons,Atlanta,General,On the body what is a calcaneium,Heel bone,Geography,What is the capital of Comoros,Moroni
General,What actress played mrs margaret williams in the danny thomas show,Jean, History & Holidays,What Christmas delicacy has blue veins running through it and tastes cheesy'? ,Stilton Cheese ,General,One person in Texas is killed annually doing what,Painting road lines
Sports & Leisure,What Is The Longest Athletics Race In The Olympic Games? ,50 Km Walking Race ,Sports & Leisure,In Which English City Will You Find Lords Cricket Ground ,London ,General,Which is the only English word to both begin and end with the letters U-N-D,Underground
General,Who played Billy the Kid in The Left Handed Gun,Paul Newman,General,"Which 1978 film from the book of the same name by Ira Levin, tell of the cloning of Adolf Hitler",The boys from brazil,General,Which educational establishment in Utah is known as B.Y.U.,Brigham young university
Art & Literature,Which British Artist Is Noted For His Numerous Paintings Of Horses ,George Stubbs ,General,In the USA a police 10-31 is the code for what,Crime in progress,General,Powdered red pepper,Cayenne
General,Which was the sacred animal of ancient egypt,Cat,Science & Nature,What is the only dog that doesn't have a pink tongue,Chow,Music,Suzanne Hoffs Was The Lead Singer Of Which Very Successful Band,The Bangles
General,In what bodily system are Schwann cells found?,Peripheral Nervous System,Science & Nature," Of all known forms of animals life ever to inhabit the Earth, only about __________ still exist today.",10%,General,Who wrote the book Coma,Robin Cook
General,What foodwise is a Fieldlane Duck,Baked Sheep's Head,General,Whose novels include 'The Cement Garden' and 'Comfort of Stangers',Ian mcewan,General,Suriphobia is the fear of,Mice
Toys & Games,D&D stands for this.,Dungeons and dragons,General,Name either of the songs which were big hits for Shirley Ross and Bob Hope in two musical films in 1937/8. Thanks for the memory,Two sleepy people,General,What did Pope John XX1 use as effective eyewash,Babies Urine
 History & Holidays,What Was The Name Of The North Sea Oil Rig That Caught Fire In 1988 ,Piper Alpha ,General,"Serotine, Leislers and Noctule are all varieties of which nianinial",Bat, History & Holidays,What Is A Male Witch Known As ,Warlock 
General,"On Punky Brewster,how was she abandoned by her mother?",Her mother went in to the grocery store and never came out., Geography,Which U.S. state borders a Canadian territory?,Alaska,Sports & Leisure,Which Baseball Team Won A Record 37 World Series In The 20th Century ,New York Yankees 
General,Which group had a 1970s UK number one hit with Oh Boy,Mud,Mathematics,What is next in the series 1 8 27 ?? 125 216?,64,General,Whose girl friend was Virginia Hill,Bugsy siegel
Geography,What is the capital of Spain,Madrid,General,Of what is apiphobia the fear,Bees,General,Which country has the longest coastline,Canada
General,How many years in a vicennial?,20,General,Etymology is the study of what,Word origins,General,Name the cowardly member of Dick Dastardly's squadron,Zilly
General,What unit is used to measure electrical resistance,Ohm,General,What is the last animal in the dictionary,Zorille,General,Who wrote the thriller The Name of the Rose,Umberto eco
General,What company did actor Brad Pitt model for,Levis,General,"In an average lifetime, the average american visits a ___ 5 times",Psychiatrist,General,In which of Aristophanes plays do the women refuse sex,Lysistrata
Music,"Who Had A Hit In 1997 With ""Torn""",Natalie Imbruglia,Art & Literature,Which Nobel Prize Winner Wrote (A History Of The English Speaking Peoples) ,Winston Churchill ,General,Bam Yat and Holon are in which country,Israel
Sports & Leisure,"What football player rushed for 2,003 yards in 1973?",OJ Simpson,General,In the rhyme about magpies what do 5 represent,Silver,General,"Who has daughters named Jade, Elizabeth, Scarlett and Georgia",Mick jagger
General,In Kiplings Jungle Book Ikki was what type of creature,Porcupine,General,The only U.S. State that ends with 3 consonants,Massachusetts,General,"Did you know that if ________________ had not been shot, & not convicted for killing JFK, he would have been convicted for killing Officer Tippet",Lee harvey oswald
Geography,Where is George Washington buried,"Mt. vernon, virginia",General,To refuel your car you go to a _____ station.,Petrol/Gas,General,What is dick turpin's horse's name,Black bess
Sports & Leisure,What Is The Value Of (K) In Scrabble ,5 Points ,General,Former Royal coat of arms of France,Fleur-de-lis,General,What year did Emily Pankhurst chain herself to 10 Downing Street,1907
Music,Name Any Three Of The Five Members Of The New Seekers,"Eve Graham, Lyn Paul, Peter Doyle, Marty Kristian, & Paul Layton",Geography,Name the largest cathedral in the world. ,St. peter's ,Geography,"He visited australia and new zealand, then surveyed the pacific coast of north america. ",Vancouver 
Music,"Who Recorded The Album ""Never Too Much"" Was It Luther Vandross Or George Benson",Luther Vandross,Music,Which Famous British Composer Wrote A Sea Symphony & At The Age Of 80 The Score For A Film About Scott's Antarctic Expedition,Ralph Vaughan Williams,Geography,Which Town Is Situated Close To The Geographic Centre Of Australia ,Alice Springs 
General,What is between panama and nicaragua,Costa rica,General,Which country has the greatest number of islands?,Finland,Science & Nature,How many Astronaughs crewed the Gemini series of Spacecraft?,Two
Music,"Who's First Top Ten LP Was Entitled ""Wood Face""",Crowded House,General,What instrument does kenny g play,Saxophone, History & Holidays,What type of sweet did Mars and Murrie develop in 1941? ,M & Ms 
 History & Holidays,Who was Joseph Merrick?,The Elephant Man,General,"Who publishes the newspaper, The Australian",Rupert murdoch,Science & Nature,A heavenly body moving under the attraction of the Sun and consisting of a nucleus and a tail is a(n) _____.,Comet
General,What actress was born frances ethel gumm,Judy garland,General,Which native Indian tribe never signed a peace treaty US govern,Seminoles,General,What planet did the Thundercats live on?,Third Earth.
Music,Which Spice Girl Upset Anti Fur Campaigners By Wearing Furs In A 1997 Feature In Tatler,Victoria Beckham,General,Which people invented the compass?,Chinese,General,Of what was Charlie Chaplain's cane made,Bamboo
General,"What was the final destination of the first u.s. paddle wheel steamboat, what departed from pittsburgh?",New orleans, History & Holidays,Who wanted to make a coat out of 101 Dalmatians ,Cruella Devil ,General,Robert Langford Modini became more famous as who,Robert Stack
 Geography,Where are the 'wallops'?,Hampshire,Geography,Which Country Grows The Most Potatoes Per Annum ,Russia ,Music,Which Song Was A Hit For Both Tom Jones And Prince?,Kiss
Art & Literature,Who Wrote (Robinsonn Crusoe) ,Daniel Defoe , History & Holidays,In 1968 Which Country Did The USSR Invade To Stamp Out Liberal Reform ,Czechoslovakia ,General,"Hybrid offspring of the jackass (male ass) and the mare, much used and valued in many parts of the world as a beast of burden.",Mule
Geography,What are the worlds four oceans _ alphabetically,"Arctic, atlantic, indian and pacific",General,"In 'a christmas carol', how many ghosts visited scrooge",Four,Toys & Games,"In which sport are terms ""spare"" and ""gutter"" used?",Tenpin bowling
General,"In which Kent town is the Indian princess, Pocahontas, buried",Gravesend,General,What sport are barbells used in,Weightlifting,General,The SF award the Hugo is named after Hugo who?,Gernsbeck
General,"What did Emerson, Lake & Palmer burn on stage during their concerts?",The American flag,General,What is the general term used for various forms of insanity & mental derangement,Mental illness,General,Illusion of hearing or seeing something not actually present,Hallucination
General,What is the largest country in central america,Nicaragua,General,What is the flower that stands for: sadness,Dead leaves,General,David John Moore Cornwell became famous as who,John Le Carre
Geography,What Is The Largest Of The Channel Islands ,Jersey ,General,Memonites are what Christian sect founded 1525 Conrad Grebel,Anabaptists like Amish,General,What drug is obtained from the dried bark of an evergreen tree native to south america,Quinine
General,What ernest hemingway novel depicts the lives of rebels during the spanish civil war,For whom the bell tolls,General,Tubular sac attached to the large intestine,Appendix,General,Where were George Mallory & Andrew irvine heading when they were last seen alive,Summit of everest
Geography,Which Famous Cocktail Was Invented At The Raffles Hotel In The Far East Around 1910 ,The Singapore Sling ,General,What is the capital of the state of Ohio,Columbus,General,Where is the Isle of Pelicans,Alcatraz
Music,On which Beatles album would you find “Ticket To Ride”,Help, Geography,What is the capital of Jordan ?,Amman,General,"In Greek mythology, who solved the riddle of the sphinx",Oedipus
Music,Blackie Lawless Was The Singer With Which Band,Wasp,General,Who was the founder of the Irish political party Sinn Fein?,Arthur Griffith,General,In Missouri a man must have a permit to do what,Shave
Toys & Games,What is the Chess ranking system called ?,Elo,Entertainment,"In the TV series 'The Brady Bunch', what was Cindy's toy doll's name?",Kitty Carrie All,General,"Which actor plays the part of Dr. Frasier Crane in the Channel 4 series ""Frasier""'",Kelsey grammer
 Geography,In what country is Lahore?,Pakistan,General,Minerva is the Goddess of what,Wisdom,General,Khartoum' Is The Capital City Of Which African Country,Sudan
Entertainment,For whom did Colonel Tom Parker act as manager?,Elvis Presley,General,What is the name of the computer in Stanley Kubrick's '2001: A Space Odyssey,Hal, History & Holidays,"In 'A Christmas Carol'', what is Tiny Tim's surname ",Cratchett 
General,What was the name of the nuclear missle defense system Reagan proposed?,Star Wars,General,Baile Atha Cliath - Official name what capitol city,Dublin - its Irish Gaelic,Entertainment,"Who sang for 'Bad company' and 'Free', then went out on his own?",Paul Rodgers
General,Who was the first christian emperor of rome,Constantine,Science & Nature,The name for the group of stars which form a hunter with a club and shield is _____.,Orion,Sports & Leisure,Who was the first unseeded player to win Wimbeldon?,Boris Becker
General,Which country is the world's biggest gold producer?,South Africa,General,"Any type of self-propelled vehicle used by railroads to pull or push other types of rolling stock, including passenger, freight, & work cars",Hovercraft,General,The Roman festival of Hilaria is equal to what modern day,April Fools Day
Music,"In ""Lucy In The Sky With Diamonds"", what were the colors of the Celophane Flowers?",Yellow and green,Geography,What is the most sacred river in India,Ganges, History & Holidays,"The birthplace of Napoleon, also the capital of Corsica, is?",Ajaccio
General,"Who painted ""The Shriek"" and ""The Kiss""",Edvard munch,Art & Literature,Where is the Louvre located?,Paris,General,Football - the Philadelphia ______,Eagles
General,Which is the last book of the Old Testament,Malachi,General,On common ailments Charles Osborne had what for 69 years,Hiccups, History & Holidays,"""Who Is The First Ghost To Appear To Scrooge In """"A Christmas Carol""""?"" ",Marley's Ghost 
General,"Lassa fever is named after the village in which it was first detected in 1969, where is Lassa",Nigeria,Music,"Who Joined Genesis From ""Flaming Youth""",Phil Collins,General,"Who wrote the play "" What the Butler saw """,Joe Orton
General,Crime of getting married again whilst still legally married,Bigamy,General,"Cumulus, cirrus and stratus are all types of what",Clouds,General,What food is the leading source of salmonella poisoning,Chicken
General,Which is the highest poker hand 2 pairs or three of a kind,Three of a kind,General,The British colonial law in India monopolizing salt production provoked whose rebellious march to the sea,Mahatma ghandi, History & Holidays,Where did the famous witch trials of New England take place ,Salem 
General,What form of light comes at wavelengths below 360 nanometers,Ultra violet,General,What Zimbabwe beer is named after a river,Zambezi,General,"Where would you find a nave, apse, atrium and narthex?",Basilica
Music,What Was The Best Selling Dire Straits Single In The UK,Private Investigation,General,Who hired the Mormon Mafia to prevent contamination,Howard Hughs,General,What plant is snuff made from,Tobacco
General,What did the Victorians call servant regulators,Alarm Clocks,Geography,"Which country borders Italy, Switzerland, West Germany, Czechoslovakia, Hungary, Yugoslavia, and Liechtenstein",Austria,General,In Greek mythology who were the guardian spirits of the sea,Neriads
General,"In Imperial measurement, how many square yards are in a square chain",484, History & Holidays,Who played the lead role in the 1960 Hammer production The Curse of the Werewolf ,Oliver Reed ,General,A ___ can not move it's jaw side to side,Cat
General,What country calls themselves Nipon?,Japan,General,"Wafter Re-Uniting In The 80's The Song ""That Was Then This Is Now"" Was The First Single released By Which Group",The Monkees,General,"In baseball, how far do you have to run if you hit a home run",Three hundred
General,What is The Adi Granth,Sacred Scriptures Sikhs,General,Which SF author created the character Lazarus Long,Robert Heinlein,Food & Drink,What Is The Third Most Popular Soft Drink In The UK ,Lucozade 
Geography,"Which American state's name is Spanish for ""flowered"" or ""flowery land""?",Florida,General,What was Cecil B. De Mille's Middle name,Blount,Music,Who Was Just A Step From Heaven In 1994,Eternal
General,What would you expect to find in a vespiary,Wasps,General,What inert gas is used in fluorescent lights,Argon,General,What is a 'funambulist'?,A tightrope walker
General,How many members are in the 'fairfield four',Five, History & Holidays,What was the name of the multi-colored cube you had to re-organize? ,Rubik Cube ,General,"What actor mouthed the line ""Whatch you talkin' 'bout Willis?""",Gary Coleman
General,Baseball: the cleveland ______,Indians,General,An orchidectomy involves what procedure,Removal of testicle,General,Whose was the first voice to appear on the British TV station Channel 4?,Paul Coia
General,What language is klutz an insult in,Yiddish,General,What is the capital of pennsylvania,Harrisberg,General,Which nationality calls Munich the 'Monaco of Bavaria'?,Italians
General,"In ballet, a leap in which the lower leg beats against the upper one at an angle, before the dancer lands again on the lower leg.",Cabriole,Music,What Was Former Spice Girl Victoria's Maiden Name Before She Married David In 1999,Adams,General,Which 16th century Italian wrote The Prince,Machiavelli
General,Nicosia is the capital of ______,Cyprus,General,In Paris what are FD Roosevelt Stalingrad Louis Blanc,Metro Stations, Geography,What's the highest mountain in the 48 contiguous U.S. states?,Whitney
General,For what was Joan of Arc made a Saint,Her Virginity,General,"In 1987, who released her second album 'solitude standing'",Suzanne vega,General,Which notorious British murderer appears in Alban Berg's unfinished opera Lulu,Jack the ripper
General,Which US city was once named Porkopolis,Cincinnati,General,What soap was about the trials and tribulations of a vampire,Dark shadows,Food & Drink,What is the main ingredient of Paella? ,Rice 
 Geography,What is the basic unit of currency for Antigua and Barbuda ?,Dollar,General,Which abbey is located near Barrow Upon Humber in North Lincolnshire?,Thornton Abbey,General,26% of McDonalds Ontario employees admit doing what,Putting bodily fluids in food
General,What is the only day named for a planet,Saturday,General,Most of these animals are bisexual - what animal,Giraffe,Music,Amount ABC reportedly paid for rights to the Beatles Anthology documentary,$20 million
